uniq_id,score,product_name,image_url
e71017e224688489edfe856f2308806d,4.9,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,https://drive.google.com/file/d/1SS0TxohE5ou4g0AEFBkbSOP56p2eVjO4/view?usp=share_link
6286847ee2da18f587503db49511c539,3.5,Shopmania Music Band A5 Notebook Spiral Bound,https://drive.google.com/file/d/10J6bPz9DAGdBWf9e_KEBBticcna3Wayi/view?usp=share_link
0686fec9b70e5039583a38119ca0c835,3.1,Shopmania Music Band A5 Notebook Spiral Bound,https://drive.google.com/file/d/1Y0CSBy8E9jTH6uzfeSr-G1UibtEfA_Pc/view?usp=share_link
ea2406dc597bee2abb6b867fa668501f,4.9,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",https://drive.google.com/file/d/1fr1cudA0OUx6qDXVd3Z6ItfFlC6qTD_J/view?usp=share_link
5935ed077915347dc695744df68c565c,4.5,KAJCI Embroidered Women's Waistcoat,https://drive.google.com/file/d/1aD_UNLYmWZ34xnmlpcNqX6Yeh-MR1oKD/view?usp=share_link
89fcdddaad50084e395d0928a7426afe,2.2,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,https://drive.google.com/file/d/15SQztB_S2saYIvzQu6_2szHLuTYtyWJG/view?usp=share_link
b9b183aa18d3a721d2ac23e7184525b0,2.7,Pick Pocket Embroidered Women's Waistcoat,https://drive.google.com/file/d/10xZ539w00LMyhF0pqfDEbpMEi88_0jzr/view?usp=share_link
dee64864c0419bec80fbbb94d19bc40d,4.1,Angelfish Silk Potali Potli,https://drive.google.com/file/d/1xBhyAzUeEGFxiMlgTe9bcBgJxV5GRpXG/view?usp=share_link
595f55f2c1293f07ea9ec9fa2bb39f46,4.6,Oye Boy's Dungaree,https://drive.google.com/file/d/15EBdhDTE4PVwvGaEo8HLSBGa4j2ma-dv/view?usp=share_link
547b6585272473ae006bcfbdb47b6ae0,2.7,Nuride Canvas Shoes,https://drive.google.com/file/d/1LX1jBwSoY6LJyaTsN6l3FL4Uda9P5f8u/view?usp=share_link
f6ae9e271a1d4469b4f41124e001e1cc,5,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,https://drive.google.com/file/d/1g3MJWiOakQ1wgRO05vEnHWz3-o8BuTWu/view?usp=share_link
f5b22eaa5f79e67209612997f4aa215d,3.6,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,https://drive.google.com/file/d/18IvOjhYu0UmJYZ5vL_7WgwiazJmkzkls/view?usp=share_link
e9eb010ed8313f65f0e049fc3fcffe87,3.4,Rapter BNC-179 BNC Wire Connector,https://drive.google.com/file/d/1OpMLTySeoGQk-Vg167LqtvP22D-Cn67h/view?usp=share_link
